plate,gould_english,gould_latin,birdnet_sci,birdnet_common,form,confidence,sci_synonyms,reason
337,Grey Phalarope,Phalaropus platyrhynchus,Phalaropus fulicarius,Red Phalarope,,high,,Grey (Red) Phalarope
338,Coot,Fulica atra,Fulica atra,Eurasian Coot,,high,,Fulica atra Linn. = Fulica atra (Eurasian Coot); same species
339,Water Rail,Rallus aquaticus,Rallus aquaticus,Water Rail,,high,,Rallus aquaticus Linn. = Rallus aquaticus (Water Rail); same species
340,Hyacinthine Porphyrio,Porphyrio hyacinthinus,Porphyrio porphyrio,Western Swamphen,,high,,"Porphyrio hyacinthinus Temm. = the Mediterranean purple swamphen, now Western Swamphen after the split"
341,Land Rail,Gallinula crex,Crex crex,Corn Crake,,high,,Land Rail = Corn Crake
342,Common Gallinule,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,,high,,Moorhen
343,Spotted Crake,Zapornia porzana,Porzana porzana,Spotted Crake,,high,,Spotted Crake
344,Baillon's Crake,Zapornia Baillonii,Zapornia pusilla,Baillon's Crake,,high,Porzana pusilla,Baillon's Crake is today's Zapornia pusilla
345,Little Crake,Zapornia pusilla,Zapornia parva,Little Crake,,high,Porzana parva,Gould's Little Crake (Stephens's pusilla) = Zapornia parva; his Baillon's is plate 344. Trap: modern Z. pusilla is Baillon's Crake
346,Snow Goose,Anser hyperboreus,Anser caerulescens,Snow Goose,,high,Chen caerulescens,Snow Goose
347,Grey Lag Wild Goose,Anser ferus,Anser anser,Graylag Goose,,high,,Greylag
348,Bean Goose,Anser segetum,,,,low,,"Bean Goose, now split Taiga (A. fabalis) / Tundra (A. serrirostris); both winter in Britain and the plate could show either. Blank"
349,White-fronted Goose,Anser albifrons,Anser albifrons,Greater White-fronted Goose,,high,,Anser albifrons Steph. = Anser albifrons (Greater White-fronted Goose); same species
350,Bernicle Goose,Anser leucopsis,Branta leucopsis,Barnacle Goose,,high,,Barnacle Goose
351,Red-breasted Goose,Anser ruficollis,,,,high,,"Anser ruficollis = Branta ruficollis, which is not a BirdNET V2.4 label; blank"
352,Brent Goose,Anser Brenta,Branta bernicla,Brant,,high,,Brent Goose (BirdNET: Brant)
353,Egyptian Goose,Chenalopex Egyptiaca,Alopochen aegyptiaca,Egyptian Goose,,high,,"Chenalopex Egyptiaca Steph. = Alopochen aegyptiaca (Egyptian Goose); same species, older binomial"
354,Domestic Swan,Cygnus mansuetus,Cygnus olor,Mute Swan,,high,,"Domestic (tame) Swan = Mute Swan; anchor, verified on the plate"
355,"Whistling Swan, or Hooper",Cygnus ferus,Cygnus cygnus,Whooper Swan,,high,,Cygnus ferus = Whooper Swan ('Hooper'). Trap: BirdNET-era 'Whistling Swan' is the Tundra Swan
356,Bewick's Swan,Cygnus Bewickii,Cygnus columbianus,Tundra Swan,subspecies,high,Cygnus bewickii,"Bewick's Swan = C. columbianus bewickii, Tundra Swan"
357,Common Shieldrake,Tadorna vulpanser,Tadorna tadorna,Common Shelduck,,high,,Common Shelduck
358,Ruddy Shieldrake,Tadorna rutila,Tadorna ferruginea,Ruddy Shelduck,,high,,Ruddy Shelduck
359,Widgeon,Mareca Penelope,Mareca penelope,Eurasian Wigeon,,high,Anas penelope,Eurasian Wigeon
360,Shoveller Duck,Rhynchaspis clypeata,Spatula clypeata,Northern Shoveler,,high,Anas clypeata,Shoveler
361,Common Wild Duck,Anas Boschas,Anas platyrhynchos,Mallard,,high,Anas boschas,Mallard
362,Common Teal,Querquedula Crecca,Anas crecca,Green-winged Teal,,high,,Common (Eurasian) Teal
363,Bimaculated Teal,Querquedula glocitans,,,,high,Anas formosa,"Querquedula glocitans = Sibirionetta formosa, which is not a BirdNET V2.4 label; blank. Anas glocitans Pall. = Baikal Teal"
364,Gargany Teal,Querquedula circia,Spatula querquedula,Garganey,,high,Anas querquedula,Garganey
365,Pintail Duck,Dafila caudacuta,Anas acuta,Northern Pintail,,high,,Pintail
366,Gadwall,Chauliodes strepera,Mareca strepera,Gadwall,,high,Anas strepera,Gadwall
367,Red-headed Pochard,Fuligula ferina,Aythya ferina,Common Pochard,,high,,Pochard
368,"White-eyed, or Castaneous Duck",Fuligula leucophthalma,Aythya nyroca,Ferruginous Duck,,high,,White-eyed Duck = Ferruginous Duck
369,Red-crested Duck,Fuligula rufina,Netta rufina,Red-crested Pochard,,high,,Fuligula rufina Steph. = Netta rufina (Red-crested Pochard); same species
370,Tufted Duck,Fuligula cristata,Aythya fuligula,Tufted Duck,,high,,Tufted Duck
371,Scaup Pochard,Fuligula marila,Aythya marila,Greater Scaup,,high,,Scaup
372,Western Duck,Fuligula Dispar,,,,high,,"Fuligula Dispar = Polysticta stelleri, which is not a BirdNET V2.4 label; blank. Anas dispar Sparrm. = Steller's Eider ('Western Duck')"
373,Marbled Duck,Fuligula marmorata,,,,high,,"Fuligula marmorata = Marmaronetta angustirostris, which is not a BirdNET V2.4 label; blank. Marbled Duck (Teal)"
374,Eider Duck,Somateria mollissima,Somateria mollissima,Common Eider,,high,,Somateria mollissima Leach. = Somateria mollissima (Common Eider); same species
375,King Duck,Somateria spectabilis,Somateria spectabilis,King Eider,,high,,Somateria spectabilis Leach. = Somateria spectabilis (King Eider); same species
376,Surf Scoter,Oidemia perspicillata,Melanitta perspicillata,Surf Scoter,,high,,Oidemia perspicillata Flem. = Melanitta perspicillata (Surf Scoter); same species
377,Velvet Scoter,Oidemia fusca,Melanitta fusca,Velvet Scoter,,high,,Velvet Scoter (American White-winged Scoter split off)
378,Black Scoter,Oidemia nigra,Melanitta nigra,Common Scoter,,high,,Black Scoter of Gould = Common Scoter M. nigra (American Black Scoter M. americana split off). Trap: BirdNET's 'Black Scoter' is M. americana
379,Golden Eye,Clangula vulgaris,Bucephala clangula,Common Goldeneye,,high,,Golden Eye
380,Barrow's Duck,Clangula Barrovii,Bucephala islandica,Barrow's Goldeneye,,high,,Barrow's Goldeneye
381,Harlequin Duck,Clangula histrionica,Histrionicus histrionicus,Harlequin Duck,,high,,"Clangula histrionica Leach. = Histrionicus histrionicus (Harlequin Duck); same species, older binomial"
382,Long-tailed Duck,Harelda glacialis,Clangula hyemalis,Long-tailed Duck,,high,,Long-tailed Duck
383,White-headed Duck,Undina leucocephala,,,,high,,"Undina leucocephala = Oxyura leucocephala, which is not a BirdNET V2.4 label; blank"
384,Goosander,Mergus Merganser,Mergus merganser,Common Merganser,,high,,Goosander
385,Red-breasted Merganser,Mergus serrator,Mergus serrator,Red-breasted Merganser,,high,,Mergus serrator Linn. = Mergus serrator (Red-breasted Merganser); same species
386,Hooded Merganser,Mergus cucullatus,Lophodytes cucullatus,Hooded Merganser,,high,,Mergus cucullatus Linn. = Lophodytes cucullatus (Hooded Merganser); same species
387,Smew,Mergus albellus,Mergellus albellus,Smew,,high,,Mergus albellus Linn. = Mergellus albellus (Smew); same species
388,Great-crested Grebe,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,,high,,Podiceps cristatus Lath. = Podiceps cristatus (Great Crested Grebe); same species
389,Red-necked Grebe,Podiceps rubricollis,Podiceps grisegena,Red-necked Grebe,,high,,Red-necked Grebe
390,Horned Grebe,Podiceps cornutus,Podiceps auritus,Horned Grebe,,high,Podiceps cornutus,Gould's Horned Grebe = Slavonian/Horned Grebe P. auritus
391,Eared Grebe,Podiceps auritus,Podiceps nigricollis,Eared Grebe,,high,,Gould's Eared Grebe (Latham's auritus) = Black-necked Grebe P. nigricollis. Trap: modern P. auritus is the Horned Grebe (plate 390)
392,"Little Grebe, or Dabchick",Podiceps minor,Tachybaptus ruficollis,Little Grebe,,high,,Little Grebe
393,Northern Diver,Colymbus glacialis,Gavia immer,Common Loon,,high,,Great Northern Diver = Common Loon
394,Black-throated Diver,Colymbus arcticus,Gavia arctica,Arctic Loon,,high,,"Colymbus arcticus Linn. = Gavia arctica (Arctic Loon); same species, older binomial"
395,Red-throated Diver,Colymbus septentrionalis,Gavia stellata,Red-throated Loon,,high,,"Colymbus septentrionalis Linn. = Gavia stellata (Red-throated Loon); same species, older binomial"
396,Foolish Guillemot,Uria Troile,Uria aalge,Common Murre,,high,,Guillemot = Common Murre
397,Bridled Guillemot,Uria lacrymans,Uria aalge,Common Murre,variant,high,,Bridled Guillemot is the bridled morph of the Common Murre
398,Brunnich's Guillemot,Uria Brunnichii,Uria lomvia,Thick-billed Murre,,high,,Brünnich's Guillemot = Thick-billed Murre
399,Black Guillemot,Uria Grylle,Cepphus grylle,Black Guillemot,,high,,Uria Grylle Lath. = Cepphus grylle (Black Guillemot); same species
400,Great Auk,Alca impennis,,,,high,,"Great Auk: extinct, not a BirdNET label. Blank"
401,Razor-billed Auk,Alca Torda,Alca torda,Razorbill,,high,,Alca Torda Linn. = Alca torda (Razorbill); same species
402,Little Auk,Mergulus alle,,,,high,,"Mergulus alle = Alle alle, which is not a BirdNET V2.4 label; blank. Little Auk = Dovekie"
403,Puffin,Mormon Fratercula,Fratercula arctica,Atlantic Puffin,,high,,"Mormon Fratercula Temm. = Fratercula arctica (Atlantic Puffin); same species, older binomial"
404,Northern Puffin,Mormon glacialis,Fratercula arctica,Atlantic Puffin,subspecies,high,,"Mormon glacialis Leach = the large high-Arctic Atlantic Puffin, F. arctica naumanni"
405,Pelican,Pelecanus Onocrotalus,,,,high,,"Pelecanus Onocrotalus = Pelecanus onocrotalus, which is not a BirdNET V2.4 label; blank"
406,Dalmatian Pelican,Pelecanus crispus,,,,high,,"Pelecanus crispus = Pelecanus crispus, which is not a BirdNET V2.4 label; blank"
407,Common Cormorant,Phalacrocorax Carbo,Phalacrocorax carbo,Great Cormorant,,high,,Phalacrocorax Carbo Steph. = Phalacrocorax carbo (Great Cormorant); same species
408,Black Cormorant,Phalacrocorax Graculus,,,,low,,"Pelecanus graculus Linn. is the Shag, but Gould's 'Black Cormorant' sits beside his separate Shag (plate 410); it may be a Shag in another dress or a cormorant. Blank"
409,Little Cormorant,Phalacrocorax pygmæus,,,,high,Phalacrocorax pygmeus,"Phalacrocorax pygmæus = Microcarbo pygmaeus, which is not a BirdNET V2.4 label; blank"
410,"Shag, or Green Cormorant",Phalacrocorax cristatus,,,,high,Phalacrocorax aristotelis,"Phalacrocorax cristatus = Gulosus aristotelis, which is not a BirdNET V2.4 label; blank. Shag"
411,Desmarest's Cormorant,Phalacrocorax Desmarestii,,,subspecies,high,Phalacrocorax aristotelis,"Phalacrocorax Desmarestii = Gulosus aristotelis, which is not a BirdNET V2.4 label; blank. Desmarest's Cormorant = the Mediterranean Shag, G. aristotelis desmarestii"
412,Solan Gannet,Sula Bassana,Morus bassanus,Northern Gannet,,high,,"Sula Bassana Briss. = Morus bassanus (Northern Gannet); same species, older binomial"
413,Black-tailed Gannet,Sula melanura,,,,low,,"Sula melanura Temm. = Cape Gannet (Morus capensis), not a BirdNET label. Blank"
414,Caspian Tern,Sterna Caspia,Hydroprogne caspia,Caspian Tern,,high,,Sterna Caspia Pall. = Hydroprogne caspia (Caspian Tern); same species
415,Sandwich Tern,Sterna cantiaca,Thalasseus sandvicensis,Sandwich Tern,,high,Sterna sandvicensis,"Sterna cantiaca Gmel. = Thalasseus sandvicensis (Sandwich Tern); same species, older binomial"
416,Gull-billed Tern,Sterna Anglica,Gelochelidon nilotica,Gull-billed Tern,,high,,Gull-billed Tern
417,Common Tern,Sterna Hirundo,Sterna hirundo,Common Tern,,high,,Sterna Hirundo Linn. = Sterna hirundo (Common Tern); same species
418,Roseate Tern,Sterna Dougallii,Sterna dougallii,Roseate Tern,,high,,Sterna Dougallii Mont. = Sterna dougallii (Roseate Tern); same species
419,Arctic Tern,Sterna Arctica,Sterna paradisaea,Arctic Tern,,high,,"Sterna Arctica Temm. = Sterna paradisaea (Arctic Tern); same species, older binomial"
420,Little Tern,Sterna minuta,Sternula albifrons,Little Tern,,high,Sterna albifrons,"Sterna minuta Linn. = Sternula albifrons (Little Tern); same species, older binomial"
421,Noddy Tern,Sterna stolida,Anous stolidus,Brown Noddy,,high,,Noddy = Brown Noddy
422,Black Tern,Viralva nigra,Chlidonias niger,Black Tern,,high,,"Viralva nigra Leach. = Chlidonias niger (Black Tern); same species, older binomial"
423,White-winged Tern,Viralva leucoptera,Chlidonias leucopterus,White-winged Tern,,high,,"Viralva leucoptera Leach. = Chlidonias leucopterus (White-winged Tern); same species, older binomial"
424,Moustache Tern,Viralva leucopareïa,Chlidonias hybrida,Whiskered Tern,,high,,Moustache Tern = Whiskered Tern
425,Laughing Gull,Xema ridibunda,Chroicocephalus ridibundus,Black-headed Gull,,high,Larus ridibundus,"anchor, verified on the plate: Gould's 'Laughing Gull' = Black-headed Gull"
426,Black-winged Gull,Xema atricilla,Leucophaeus atricilla,Laughing Gull,,high,Larus atricilla,Larus atricilla Linn. = (American) Laughing Gull; Gould's English 'Black-winged Gull'
427,Black-headed Gull,Xema melanocephala,Ichthyaetus melanocephalus,Mediterranean Gull,,high,Larus melanocephalus,"anchor, verified on the plate: Gould's 'Black-headed Gull' = Mediterranean Gull"
428,Little Gull,Xema minuta,Hydrocoloeus minutus,Little Gull,,high,Larus minutus,"Xema minuta Boje. = Hydrocoloeus minutus (Little Gull); same species, older binomial"
429,Sabine's Gull,Xema Sabinii,Xema sabini,Sabine's Gull,,high,Larus sabini,"Xema Sabinii Leach. = Xema sabini (Sabine's Gull); same species, older binomial"
430,Great Black-backed Gull,Larus marinus,Larus marinus,Great Black-backed Gull,,high,,Larus marinus Linn. = Larus marinus (Great Black-backed Gull); same species
431,Lesser Black-backed Gull,Larus fuscus,Larus fuscus,Lesser Black-backed Gull,,high,,Larus fuscus Linn. = Larus fuscus (Lesser Black-backed Gull); same species
432,Glaucous Gull,Larus glaucus,Larus hyperboreus,Glaucous Gull,,high,,Glaucous Gull
433,Iceland Gull,Larus Islandicus,Larus glaucoides,Iceland Gull,,high,,Iceland Gull
434,Herring Gull,Larus argentatus,Larus argentatus,Herring Gull,,high,,"Herring Gull (European; American Herring Gull split in some lists, BirdNET keeps one)"
435,Kittiwake Gull,Larus Rissa,Rissa tridactyla,Black-legged Kittiwake,,high,,Kittiwake
436,Ivory Gull,Larus eburneus,,,,high,,"Larus eburneus = Pagophila eburnea, which is not a BirdNET V2.4 label; blank"
437,Common Gull,Larus canus,Larus canus,Common Gull,,high,,Larus canus Linn. = Larus canus (Common Gull); same species
438,Audouin's Gull,Larus Audouinii,Ichthyaetus audouinii,Audouin's Gull,,high,Larus audouinii,Larus Audouinii Temm. = Ichthyaetus audouinii (Audouin's Gull); same species
439,Skua,Lestris catarractes,Stercorarius skua,Great Skua,,high,,Skua = Great Skua
440,Pomarine Gull,Lestris Pomarinus,Stercorarius pomarinus,Pomarine Jaeger,,high,,Lestris Pomarinus Temm. = Stercorarius pomarinus (Pomarine Jaeger); same species
441,Richardson's Lestris,Lestris Richardsonii,Stercorarius parasiticus,Parasitic Jaeger,,high,,Richardson's Skua = Arctic Skua (Parasitic Jaeger)
442,Parasitic Gull,Lestris Parasiticus,Stercorarius longicaudus,Long-tailed Jaeger,,decided,,"Temminck/Illiger's Lestris parasiticus was the Long-tailed Skua; Gould's Arctic Skua is 'Richardson's' (plate 441). Trap: modern S. parasiticus is the Arctic Skua. Confirm the long central tail feathers on the plate | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
443,Manks Shearwater,Puffinus Anglorum,Puffinus puffinus,Manx Shearwater,,high,,"Puffinus Anglorum Ray. = Puffinus puffinus (Manx Shearwater); same species, older binomial"
444,Dusky Shearwater,Puffinus obscurus,,,,low,,"Puffinus obscurus of Gould's day covered the small dusky shearwaters (Barolo's P. baroli / Audubon's P. lherminieri), neither a BirdNET label. Blank"
445,Cinereous Shearwater,Puffinus cinereus,,,,low,,"'Cinereous Shearwater' was used for both Cory's (Calonectris) and the Great Shearwater (Ardenna gravis, absent from BirdNET); cannot tell which. Blank"
446,Fulmar Petrel,Procellaria glacialis,Fulmarus glacialis,Northern Fulmar,,high,,Procellaria glacialis Linn. = Fulmarus glacialis (Northern Fulmar); same species
447,Fork-tailed Storm Petrel,Thalassidroma Leachii,Hydrobates leucorhous,Leach's Storm-Petrel,,high,Oceanodroma leucorhoa,Leach's Storm Petrel
448,Common Storm Petrel,Thalassidroma pelagica,Hydrobates pelagicus,European Storm-Petrel,,high,,"Thalassidroma pelagica Selby. = Hydrobates pelagicus (European Storm-Petrel); same species, older binomial"
449,Bulwer's Petrel,Thalassidroma ? Bulwerii,Bulweria bulwerii,Bulwer's Petrel,,high,,Thalassidroma ? Bulwerii = Bulweria bulwerii (Bulwer's Petrel); same species
